function	cod	gene_name	type	chr	organism
 gap junction beta-2	protein	GJB2	__SEG__	Chr13	{HomoSapiens}
 putative nucleotidyltransferase	MAB21L1	MAB21L1	__SEG__	Chr13	{HomoSapiens}
 protein sprouty homolog	2	SPRY2	__SEG__	Chr13	{HomoSapiens}
 transcription factor	SOX-1	SOX1	__SEG__	Chr13	{HomoSapiens}
 transcription factor	SOX-21	SOX21	__SEG__	Chr13	{HomoSapiens}
 SLIT and NTRK-like protein 5	precursor	SLITRK5	__SEG__	Chr13	{HomoSapiens}
 U3 small nucleolar RNA-associated protein 14 homolog	C	UTP14C	__SEG__	Chr13	{HomoSapiens}
 gap junction alpha-3	protein	GJA3	__SEG__	Chr13	{HomoSapiens}
 polyadenylate-binding protein	3	PABPC3	__SEG__	Chr13	{HomoSapiens}
 kelch repeat and BTB domain-containing protein	7	KBTBD7	__SEG__	Chr13	{HomoSapiens}
 SLIT and NTRK-like protein 6	precursor	SLITRK6	__SEG__	Chr13	{HomoSapiens}
 protein	ABHD13	ABHD13	__SEG__	Chr13	{HomoSapiens}
 SLIT and NTRK-like protein 1	precursor	SLITRK1	__SEG__	Chr13	{HomoSapiens}
 BTB/POZ domain-containing protein	KCTD12	KCTD12	__SEG__	Chr13	{HomoSapiens}
 ADP-ribosylation factor-like protein	11	ARL11	__SEG__	Chr13	{HomoSapiens}
 casein kinase I isoform	alpha-like	CSNK1A1L	__SEG__	Chr13	{HomoSapiens}
 kelch repeat and BTB domain-containing protein	6	KBTBD6	__SEG__	Chr13	{HomoSapiens}
 BTB/POZ domain-containing protein	KCTD4	KCTD4	__SEG__	Chr13	{HomoSapiens}
 serine-rich and transmembrane domain-containing protein	1	SERTM1	__SEG__	Chr13	{HomoSapiens}
 G-protein coupled receptor 12 isoform	X1	GPR12	__SEG__	Chr13	{HomoSapiens}
 uncharacterized protein LOC101928841 isoform	X1	LOC101928841	__SEG__	Chr13	{HomoSapiens}
 uncharacterized protein	LOC105376684	LOC105376684	__SEG__	Chr13	{HomoSapiens}
 keratin-associated protein	21-1	LOC647264	__SEG__	Chr13	{HomoSapiens}
 G-protein coupled receptor 183 isoform	X1	GPR183	__SEG__	Chr13	{HomoSapiens}
 ribosomal protein 63, mitochondrial isoform	X1	MRPL57	__SEG__	Chr13	{HomoSapiens}
 uncharacterized protein	LOC107987188	LOC107987188	__SEG__	Chr13	{HomoSapiens}
 basic salivary proline-rich protein 3-like isoform	X2	LOC105377805	__SEG__	Chr13	{HomoSapiens}
 proline-rich protein 36-like isoform	X1	C13orf46	__SEG__	Chr13	{HomoSapiens}
 lysophosphatidic acid receptor 6 isoform	X1	LPAR6	__SEG__	Chr13	{HomoSapiens}
 N-arachidonyl glycine receptor isoform	X1	GPR18	__SEG__	Chr13	{HomoSapiens}
 keratin-associated protein	21-1-like	LOC112268117	__SEG__	Chr13	{HomoSapiens}
		IGHD2-15	__SEG__	Chr14	{HomoSapiens}
		IGHD2-2	__SEG__	Chr14	{HomoSapiens}
		IGHD2-8	__SEG__	Chr14	{HomoSapiens}
		IGHD3-10	__SEG__	Chr14	{HomoSapiens}
		IGHD3-16	__SEG__	Chr14	{HomoSapiens}
		IGHD3-22	__SEG__	Chr14	{HomoSapiens}
		IGHD3-3	__SEG__	Chr14	{HomoSapiens}
		IGHD3-9	__SEG__	Chr14	{HomoSapiens}
		IGHJ1	__SEG__	Chr14	{HomoSapiens}
		IGHJ2	__SEG__	Chr14	{HomoSapiens}
		IGHJ3	__SEG__	Chr14	{HomoSapiens}
		IGHJ4	__SEG__	Chr14	{HomoSapiens}
		IGHJ5	__SEG__	Chr14	{HomoSapiens}
		IGHJ6	__SEG__	Chr14	{HomoSapiens}
 B1 bradykinin	receptor	BDKRB1	__SEG__	Chr14	{HomoSapiens}
 60S ribosomal protein	L36a-like	RPL36AL	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4E2	OR4E2	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	6S1	OR6S1	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K1	OR4K1	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	11H4	OR11H4	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	11H6	OR11H6	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K14	OR4K14	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K13	OR4K13	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K17	OR4K17	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4L1	OR4L1	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4N2	OR4N2	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4N5	OR4N5	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	5AU1	OR5AU1	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	10G3	OR10G3	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	10G2	OR10G2	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K5	OR4K5	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K15	OR4K15	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K2	OR4K2	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	11G2	OR11G2	__SEG__	Chr14	{HomoSapiens}
 probable inactive ribonuclease-like protein 13	precursor	RNASE13	__SEG__	Chr14	{HomoSapiens}
 inactive ribonuclease-like protein 10	precursor	RNASE10	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	11H12	OR11H12	__SEG__	Chr14	{HomoSapiens}
 cell cycle control protein	50B	TMEM30B	__SEG__	Chr14	{HomoSapiens}
 probable inactive ribonuclease-like protein 12	precursor	RNASE12	__SEG__	Chr14	{HomoSapiens}
 somatostatin receptor type	1	SSTR1	__SEG__	Chr14	{HomoSapiens}
 angiogenin	precursor	ANG	__SEG__	Chr14	{HomoSapiens}
 proteasome subunit beta type-11	precursor	PSMB11	__SEG__	Chr14	{HomoSapiens}
 retrotransposon-like protein	1	RTL1	__SEG__	Chr14	{HomoSapiens}
 leukotriene B4 receptor	1	LTB4R	__SEG__	Chr14	{HomoSapiens}
 leukotriene B4 receptor	2	LTB4R2	__SEG__	Chr14	{HomoSapiens}
 probable G-protein coupled receptor	33	GPR33	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	11H2	OR11H2	__SEG__	Chr14	{HomoSapiens}
 coiled-coil domain-containing protein	177	CCDC177	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4E1	OR4E1	__SEG__	Chr14	{HomoSapiens}
 transmembrane protein	121	TMEM121	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	6J1	OR6J1	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4K3	OR4K3	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4Q2	OR4Q2	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	11H7	OR11H7	__SEG__	Chr14	{HomoSapiens}
 ankyrin repeat domain-containing protein	9	ANKRD9	__SEG__	Chr14	{HomoSapiens}
 thyroxine	5-deiodinase	DIO3	__SEG__	Chr14	{HomoSapiens}
 ADP-ribosylation factor	6	ARF6	__SEG__	Chr14	{HomoSapiens}
 alpha-1,6-mannosyl-glycoprotein	2-beta-N-acetylglucosaminyltransferase	MGAT2	__SEG__	Chr14	{HomoSapiens}
 non-secretory ribonuclease	precursor	RNASE2	__SEG__	Chr14	{HomoSapiens}
 eosinophil cationic protein	precursor	RNASE3	__SEG__	Chr14	{HomoSapiens}
 psychosine	receptor	GPR65	__SEG__	Chr14	{HomoSapiens}
 disintegrin and metalloproteinase domain-containing protein 21	preproprotein	ADAM21	__SEG__	Chr14	{HomoSapiens}
 disintegrin and metalloproteinase domain-containing protein 20	preproprotein	ADAM20	__SEG__	Chr14	{HomoSapiens}
 A-kinase anchor protein	5	AKAP5	__SEG__	Chr14	{HomoSapiens}
 forkhead box protein	G1	FOXG1	__SEG__	Chr14	{HomoSapiens}
 paraneoplastic antigen	Ma1	PNMA1	__SEG__	Chr14	{HomoSapiens}
 cell division cycle-associated protein	4	CDCA4	__SEG__	Chr14	{HomoSapiens}
	vertnin	VRTN	__SEG__	Chr14	{HomoSapiens}
 heat shock-related 70 kDa protein	2	HSPA2	__SEG__	Chr14	{HomoSapiens}
 modulator of apoptosis	1	MOAP1	__SEG__	Chr14	{HomoSapiens}
 epididymal secretory protein E3-beta	precursor	EDDM3B	__SEG__	Chr14	{HomoSapiens}
 interferon regulatory factor 2-binding	protein-like	IRF2BPL	__SEG__	Chr14	{HomoSapiens}
 ribosomal oxygenase	1	RIOX1	__SEG__	Chr14	{HomoSapiens}
 fibrous sheath CABYR-binding	protein	FSCB	__SEG__	Chr14	{HomoSapiens}
 ribonuclease 7	precursor	RNASE7	__SEG__	Chr14	{HomoSapiens}
 insulinoma-associated protein	2	INSM2	__SEG__	Chr14	{HomoSapiens}
 60S ribosomal protein	L10-like	RPL10L	__SEG__	Chr14	{HomoSapiens}
 suppressor of cytokine signaling	4	SOCS4	__SEG__	Chr14	{HomoSapiens}
 ribonuclease 8	precursor	RNASE8	__SEG__	Chr14	{HomoSapiens}
 probable ribonuclease 11	precursor	RNASE11	__SEG__	Chr14	{HomoSapiens}
 C-type lectin domain family 14 member A	precursor	CLEC14A	__SEG__	Chr14	{HomoSapiens}
 ribonuclease 4	precursor	RNASE4	__SEG__	Chr14	{HomoSapiens}
 ribonuclease pancreatic	precursor	RNASE1	__SEG__	Chr14	{HomoSapiens}
		TRAJ10	__SEG__	Chr14	{HomoSapiens}
		TRAJ11	__SEG__	Chr14	{HomoSapiens}
		TRAJ12	__SEG__	Chr14	{HomoSapiens}
		TRAJ13	__SEG__	Chr14	{HomoSapiens}
		TRAJ14	__SEG__	Chr14	{HomoSapiens}
		TRAJ15	__SEG__	Chr14	{HomoSapiens}
		TRAJ16	__SEG__	Chr14	{HomoSapiens}
		TRAJ17	__SEG__	Chr14	{HomoSapiens}
		TRAJ18	__SEG__	Chr14	{HomoSapiens}
		TRAJ19	__SEG__	Chr14	{HomoSapiens}
		TRAJ1	__SEG__	Chr14	{HomoSapiens}
		TRAJ20	__SEG__	Chr14	{HomoSapiens}
		TRAJ21	__SEG__	Chr14	{HomoSapiens}
		TRAJ22	__SEG__	Chr14	{HomoSapiens}
		TRAJ23	__SEG__	Chr14	{HomoSapiens}
		TRAJ24	__SEG__	Chr14	{HomoSapiens}
		TRAJ25	__SEG__	Chr14	{HomoSapiens}
		TRAJ26	__SEG__	Chr14	{HomoSapiens}
		TRAJ27	__SEG__	Chr14	{HomoSapiens}
		TRAJ28	__SEG__	Chr14	{HomoSapiens}
		TRAJ29	__SEG__	Chr14	{HomoSapiens}
		TRAJ2	__SEG__	Chr14	{HomoSapiens}
		TRAJ30	__SEG__	Chr14	{HomoSapiens}
		TRAJ31	__SEG__	Chr14	{HomoSapiens}
		TRAJ32	__SEG__	Chr14	{HomoSapiens}
		TRAJ33	__SEG__	Chr14	{HomoSapiens}
		TRAJ34	__SEG__	Chr14	{HomoSapiens}
		TRAJ35	__SEG__	Chr14	{HomoSapiens}
		TRAJ36	__SEG__	Chr14	{HomoSapiens}
		TRAJ37	__SEG__	Chr14	{HomoSapiens}
		TRAJ38	__SEG__	Chr14	{HomoSapiens}
		TRAJ39	__SEG__	Chr14	{HomoSapiens}
		TRAJ3	__SEG__	Chr14	{HomoSapiens}
		TRAJ40	__SEG__	Chr14	{HomoSapiens}
		TRAJ41	__SEG__	Chr14	{HomoSapiens}
		TRAJ42	__SEG__	Chr14	{HomoSapiens}
		TRAJ43	__SEG__	Chr14	{HomoSapiens}
		TRAJ44	__SEG__	Chr14	{HomoSapiens}
		TRAJ45	__SEG__	Chr14	{HomoSapiens}
		TRAJ46	__SEG__	Chr14	{HomoSapiens}
		TRAJ47	__SEG__	Chr14	{HomoSapiens}
		TRAJ48	__SEG__	Chr14	{HomoSapiens}
		TRAJ49	__SEG__	Chr14	{HomoSapiens}
		TRAJ4	__SEG__	Chr14	{HomoSapiens}
		TRAJ50	__SEG__	Chr14	{HomoSapiens}
		TRAJ52	__SEG__	Chr14	{HomoSapiens}
		TRAJ53	__SEG__	Chr14	{HomoSapiens}
		TRAJ54	__SEG__	Chr14	{HomoSapiens}
		TRAJ56	__SEG__	Chr14	{HomoSapiens}
		TRAJ57	__SEG__	Chr14	{HomoSapiens}
		TRAJ58	__SEG__	Chr14	{HomoSapiens}
		TRAJ59	__SEG__	Chr14	{HomoSapiens}
		TRAJ5	__SEG__	Chr14	{HomoSapiens}
		TRAJ61	__SEG__	Chr14	{HomoSapiens}
		TRAJ6	__SEG__	Chr14	{HomoSapiens}
		TRAJ7	__SEG__	Chr14	{HomoSapiens}
		TRAJ8	__SEG__	Chr14	{HomoSapiens}
		TRAJ9	__SEG__	Chr14	{HomoSapiens}
		TRDJ1	__SEG__	Chr14	{HomoSapiens}
		TRDJ2	__SEG__	Chr14	{HomoSapiens}
		TRDJ3	__SEG__	Chr14	{HomoSapiens}
		TRDJ4	__SEG__	Chr14	{HomoSapiens}
 ovarian cancer G-protein coupled receptor 1 isoform	X1	GPR68	__SEG__	Chr14	{HomoSapiens}
 uncharacterized protein	LOC105370641	LOC105370641	__SEG__	Chr14	{HomoSapiens}
 zinc finger and BTB domain-containing protein 42 isoform	X1	ZBTB42	__SEG__	Chr14	{HomoSapiens}
 epididymal secretory protein E3-alpha isoform	X1	EDDM3A	__SEG__	Chr14	{HomoSapiens}
 leucine-rich repeat transmembrane protein FLRT2 isoform	X1	FLRT2	__SEG__	Chr14	{HomoSapiens}
 uncharacterized protein C14orf119 isoform	X1	C14orf119	__SEG__	Chr14	{HomoSapiens}
 ribonuclease K6 isoform	X1	RNASE6	__SEG__	Chr14	{HomoSapiens}
 probable G-protein coupled receptor 135 isoform	X1	GPR135	__SEG__	Chr14	{HomoSapiens}
 uncharacterized protein	LOC107984648	LOC107984648	__SEG__	Chr14	{HomoSapiens}
 uncharacterized protein	LOC107987211	LOC107987211	__SEG__	Chr14	{HomoSapiens}
 vegetative cell wall protein	gp1-like	LOC112268124	__SEG__	Chr14	{HomoSapiens}
	loricrin-like	LOC112268140	__SEG__	Chr14	{HomoSapiens}
 olfactory receptor	4F15	OR4F15	__SEG__	Chr15	{HomoSapiens}
 olfactory receptor	4F4	OR4F4	__SEG__	Chr15	{HomoSapiens}
 olfactory receptor	4M2	OR4M2	__SEG__	Chr15	{HomoSapiens}
 olfactory receptor	4N4	OR4N4	__SEG__	Chr15	{HomoSapiens}
 olfactory receptor	4F6	OR4F6	__SEG__	Chr15	{HomoSapiens}
 kelch repeat and BTB domain-containing protein	13	KBTBD13	__SEG__	Chr15	{HomoSapiens}
 uncharacterized protein C15orf62, mitochondrial	precursor	C15orf62	__SEG__	Chr15	{HomoSapiens}
 ankyrin repeat domain-containing protein	34C	ANKRD34C	__SEG__	Chr15	{HomoSapiens}
 ankyrin repeat domain-containing protein	63	ANKRD63	__SEG__	Chr15	{HomoSapiens}
 putative transmembrane protein	INAFM2	INAFM2	__SEG__	Chr15	{HomoSapiens}
 muscarinic acetylcholine receptor	M5	CHRM5	__SEG__	Chr15	{HomoSapiens}
 GDP-D-glucose phosphorylase	1	GDPGP1	__SEG__	Chr15	{HomoSapiens}
 putative HIG1 domain family member	2B	HIGD2B	__SEG__	Chr15	{HomoSapiens}
 cortexin domain-containing	1	CTXND1	__SEG__	Chr15	{HomoSapiens}
 putative homeobox protein	NANOGP8	NANOGP8	__SEG__	Chr15	{HomoSapiens}
	necdin	NDN	__SEG__	Chr15	{HomoSapiens}
 beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	3	GCNT3	__SEG__	Chr15	{HomoSapiens}
 probable E3 ubiquitin-protein ligase	makorin-3	MKRN3	__SEG__	Chr15	{HomoSapiens}
 forkhead box protein	B1	FOXB1	__SEG__	Chr15	{HomoSapiens}
 zinc finger protein	770	ZNF770	__SEG__	Chr15	{HomoSapiens}
 EP300-interacting inhibitor of differentiation	1	EID1	__SEG__	Chr15	{HomoSapiens}
 tRNA wybutosine-synthesizing protein	4	LCMT2	__SEG__	Chr15	{HomoSapiens}
 ribonuclease P protein subunit	p25	RPP25	__SEG__	Chr15	{HomoSapiens}
 U3 small nucleolar ribonucleoprotein protein	IMP3	IMP3	__SEG__	Chr15	{HomoSapiens}
 nuclear pore-associated protein	1	NPAP1	__SEG__	Chr15	{HomoSapiens}
 MAGE-like protein	2	MAGEL2	__SEG__	Chr15	{HomoSapiens}
 kelch-like protein	25	KLHL25	__SEG__	Chr15	{HomoSapiens}
 talin rod domain-containing protein	1	TLNRD1	__SEG__	Chr15	{HomoSapiens}
 L-lactate dehydrogenase A-like	6B	LDHAL6B	__SEG__	Chr15	{HomoSapiens}
 carbohydrate sulfotransferase	14	CHST14	__SEG__	Chr15	{HomoSapiens}
 non-structural maintenance of chromosomes element 3	homolog	NSMCE3	__SEG__	Chr15	{HomoSapiens}
 piggyBac transposable element-derived protein	4	PGBD4	__SEG__	Chr15	{HomoSapiens}
 immunoglobulin superfamily containing leucine-rich repeat protein	precursor	ISLR	__SEG__	Chr15	{HomoSapiens}
 C2 calcium-dependent domain-containing protein	4A	C2CD4A	__SEG__	Chr15	{HomoSapiens}
 putative uncharacterized protein	UNQ9370/PRO34162	LOC105370980	__SEG__	Chr15	{HomoSapiens}
 C2 calcium-dependent domain-containing protein 4B isoform	X1	C2CD4B	__SEG__	Chr15	{HomoSapiens}
 cortexin-2 isoform	X1	CTXN2	__SEG__	Chr15	{HomoSapiens}
 uncharacterized protein	LOC107984745	LOC107984745	__SEG__	Chr15	{HomoSapiens}
 uncharacterized protein	LOC107984751	LOC107984751	__SEG__	Chr15	{HomoSapiens}
 protein PIGBOS1 isoform	X1	PIGBOS1	__SEG__	Chr15	{HomoSapiens}
 inositol 1,4,5-trisphosphate receptor-interacting protein-like 2	precursor	ITPRIPL2	__SEG__	Chr16	{HomoSapiens}
 cementoblastoma-derived protein	1	CEMP1	__SEG__	Chr16	{HomoSapiens}
	ataxin-1-like	ATXN1L	__SEG__	Chr16	{HomoSapiens}
 protein	TNT	C16orf82	__SEG__	Chr16	{HomoSapiens}
 carbohydrate sulfotransferase	4	CHST4	__SEG__	Chr16	{HomoSapiens}
 somatostatin receptor type	5	SSTR5	__SEG__	Chr16	{HomoSapiens}
 humanin-like	4	MTRNR2L4	__SEG__	Chr16	{HomoSapiens}
 putative UPF0607 protein	ENSP00000381418	LOC729159	__SEG__	Chr16	{HomoSapiens}
 cap-specific mRNA (nucleoside-2'-O-)-methyltransferase	2	CMTR2	__SEG__	Chr16	{HomoSapiens}
 [Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 2, mitochondrial	precursor	PDP2	__SEG__	Chr16	{HomoSapiens}
 zinc finger protein	843	ZNF843	__SEG__	Chr16	{HomoSapiens}
 melanocyte-stimulating hormone	receptor	MC1R	__SEG__	Chr16	{HomoSapiens}
 leukosialin	precursor	SPN	__SEG__	Chr16	{HomoSapiens}
 suppressor of cytokine signaling	1	SOCS1	__SEG__	Chr16	{HomoSapiens}
 forkhead box protein	L1	FOXL1	__SEG__	Chr16	{HomoSapiens}
 forkhead box protein	C2	FOXC2	__SEG__	Chr16	{HomoSapiens}
 selenide, water dikinase	2	SEPHS2	__SEG__	Chr16	{HomoSapiens}
 olfactory receptor	2C1	OR2C1	__SEG__	Chr16	{HomoSapiens}
 dexamethasone-induced	protein	DEXI	__SEG__	Chr16	{HomoSapiens}
 probable ATP-dependent RNA helicase	DDX28	DDX28	__SEG__	Chr16	{HomoSapiens}
 THAP domain-containing protein	11	THAP11	__SEG__	Chr16	{HomoSapiens}
	claudin-9	CLDN9	__SEG__	Chr16	{HomoSapiens}
 claudin-6	precursor	CLDN6	__SEG__	Chr16	{HomoSapiens}
	protamine-3	PRM3	__SEG__	Chr16	{HomoSapiens}
 carbohydrate sulfotransferase 6	precursor	CHST6	__SEG__	Chr16	{HomoSapiens}
 carbohydrate sulfotransferase	5	CHST5	__SEG__	Chr16	{HomoSapiens}
 calpain small subunit	2	CAPNS2	__SEG__	Chr16	{HomoSapiens}
 tigger transposable element-derived protein	7	TIGD7	__SEG__	Chr16	{HomoSapiens}
 UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9	precursor	B3GNT9	__SEG__	Chr16	{HomoSapiens}
 exosome complex component	MTR3	EXOSC6	__SEG__	Chr16	{HomoSapiens}
 vasorin	precursor	VASN	__SEG__	Chr16	{HomoSapiens}
 CENPB DNA-binding domain-containing protein	1	CENPBD1	__SEG__	Chr16	{HomoSapiens}
 pyrin domain-containing protein	1	PYDC1	__SEG__	Chr16	{HomoSapiens}
 vomeronasal type-1 receptor	3	VN1R3	__SEG__	Chr16	{HomoSapiens}
 transmembrane protein	C16orf54	C16orf54	__SEG__	Chr16	{HomoSapiens}
 NHL-repeat-containing protein	4	NHLRC4	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC105371045	LOC105371045	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC105369246	LOC105369246	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC105371419	LOC105371419	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC105369266	LOC105369266	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC105379473	LOC105379473	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC105379474	LOC105379474	__SEG__	Chr16	{HomoSapiens}
 acyl-CoA synthetase family member 3, mitochondrial isoform	X3	ACSF3	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC107984876	LOC107984876	__SEG__	Chr16	{HomoSapiens}
 putative uncharacterized protein	MGC34800	LOC107987235	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC107984820	LOC107984820	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC107984862	LOC107984862	__SEG__	Chr16	{HomoSapiens}
 cadmium/zinc-transporting ATPase	HMA2-like	LOC105371409	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC107984817	LOC107984817	__SEG__	Chr16	{HomoSapiens}
 collagen alpha-3(IX)	chain-like	LOC105376747	__SEG__	Chr16	{HomoSapiens}
 collagen alpha-3(IX)	chain-like	LOC105371095	__SEG__	Chr16	{HomoSapiens}
 uncharacterized protein	LOC107984833	LOC107984833	__SEG__	Chr16	{HomoSapiens}
 zinc finger protein 319 isoform	X1	ZNF319	__SEG__	Chr16	{HomoSapiens}
 platelet glycoprotein Ib alpha chain	precursor	GP1BA	__SEG__	Chr17	{HomoSapiens}
 inward rectifier potassium channel	2	KCNJ2	__SEG__	Chr17	{HomoSapiens}
 BTB/POZ domain-containing protein	KCTD11	KCTD11	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	4D2	OR4D2	__SEG__	Chr17	{HomoSapiens}
	saitohin	STH	__SEG__	Chr17	{HomoSapiens}
 somatostatin receptor type	2	SSTR2	__SEG__	Chr17	{HomoSapiens}
 gap junction gamma-1	protein	GJC1	__SEG__	Chr17	{HomoSapiens}
 phosphoinositide-interacting	protein	PIRT	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein	C17orf100	C17orf100	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	2-1	KRTAP2-1	__SEG__	Chr17	{HomoSapiens}
 elongin BC and Polycomb repressive complex 2-associated	protein	EPOP	__SEG__	Chr17	{HomoSapiens}
 myeloid-associated differentiation marker-like protein	2	MYADML2	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-9	KRTAP4-9	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	16-1	KRTAP16-1	__SEG__	Chr17	{HomoSapiens}
 RING finger protein	222	RNF222	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein	LOC728392	LOC728392	__SEG__	Chr17	{HomoSapiens}
 small integral membrane protein	6	SMIM6	__SEG__	Chr17	{HomoSapiens}
 class A basic helix-loop-helix protein	9	BHLHA9	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	2-3	KRTAP2-3	__SEG__	Chr17	{HomoSapiens}
 humanin-like	1	MTRNR2L1	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-1	KRTAP9-1	__SEG__	Chr17	{HomoSapiens}
 protein Tob1 isoform	2	TOB1	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	1-4	KRTAP1-4	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	29-1	KRTAP29-1	__SEG__	Chr17	{HomoSapiens}
 transcription factor	Sp6	SP6	__SEG__	Chr17	{HomoSapiens}
 Ig-like V-type domain-containing protein FAM187A	precursor	FAM187A	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-6	KRTAP9-6	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	9-7	KRTAP9-7	__SEG__	Chr17	{HomoSapiens}
 coiled-coil domain-containing protein	182	CCDC182	__SEG__	Chr17	{HomoSapiens}
 phosphatidylinositol-glycan biosynthesis class W	protein	PIGW	__SEG__	Chr17	{HomoSapiens}
 uncharacterized protein	LOC100996259	FAM106B	__SEG__	Chr17	{HomoSapiens}
 putative protein	FAM106C	FAM106CP	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1E3	OR1E3	__SEG__	Chr17	{HomoSapiens}
 frizzled-2	precursor	FZD2	__SEG__	Chr17	{HomoSapiens}
 ADP-ribosylation factor-like protein	4D	ARL4D	__SEG__	Chr17	{HomoSapiens}
 oligodendrocyte-myelin glycoprotein	precursor	OMG	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1D2	OR1D2	__SEG__	Chr17	{HomoSapiens}
	OR1D4	OR1D4	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1E1	OR1E1	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1E2	OR1E2	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1G1	OR1G1	__SEG__	Chr17	{HomoSapiens}
 suppressor of cytokine signaling	3	SOCS3	__SEG__	Chr17	{HomoSapiens}
 TGFB1-induced anti-apoptotic factor	1	TIAF1	__SEG__	Chr17	{HomoSapiens}
 noggin	precursor	NOG	__SEG__	Chr17	{HomoSapiens}
 neurogenic differentiation factor	2	NEUROD2	__SEG__	Chr17	{HomoSapiens}
 protein	HEXIM1	HEXIM1	__SEG__	Chr17	{HomoSapiens}
 cdc42 effector protein	4	CDC42EP4	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1A2	OR1A2	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	4D1	OR4D1	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1A1	OR1A1	__SEG__	Chr17	{HomoSapiens}
 olfactory receptor	1D5	OR1D5	__SEG__	Chr17	{HomoSapiens}
 BLOC-1-related complex subunit	6	BORCS6	__SEG__	Chr17	{HomoSapiens}
 urotensin-2	receptor	UTS2R	__SEG__	Chr17	{HomoSapiens}
 polyubiquitin-B	precursor	UBB	__SEG__	Chr17	{HomoSapiens}
 ATP-sensitive inward rectifier potassium channel	12	KCNJ12	__SEG__	Chr17	{HomoSapiens}
 proline-rich protein 15-like	protein	PRR15L	__SEG__	Chr17	{HomoSapiens}
 protein	FAM106A	FAM106A	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	1-3	KRTAP1-3	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	1-1	KRTAP1-1	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein 9-9 isoform	KRTAP9.5	KRTAP9-9	__SEG__	Chr17	{HomoSapiens}
 keratin-associated protein	4-6	KRTAP4-6	__SEG__	Chr17	{HomoSapiens}
