ID	adj.P.Val	P.Value	t	B	logFC	GB_ACC	GI	Gene.Symbol	SPOT_ID
11715149_x_at	0.0558	0.0188	2.49	-4.006537	0.154		29171728.0	HIST2H2AB	
11734134_at	0.056	0.0188	2.49	-4.008727	0.128	AF458985.1		NANOS1	
11726619_s_at	0.0565	0.019	2.49	-4.019146	0.412	BC050441.1		C1GALT1C1	
11717593_x_at	0.0571	0.0193	2.48	-4.03004	0.229	NM_001810.5		CENPB	
11742496_at	0.0574	0.0194	2.48	-4.036146	0.194	NM_001013735.1		FOXB2	
11734650_at	0.0581	0.0197	2.47	-4.049255	0.126	NM_001004319.1		VHLL	
11745674_a_at	0.0581	0.0197	-2.47	-4.05029	-0.144	M90359.1		AKAP5	
11726674_at	0.0587	0.0199	-2.47	-4.061093	-0.135	NM_004316.3		ASCL1	
11740342_at	0.059	0.02	-2.46	-4.066404	-0.154	NM_152356.3		ZNF491	
11729829_at	0.0597	0.0203	-2.46	-4.080009	-0.123	NM_147189.2		FAM110B	
11739137_at	0.0598	0.0204	2.46	-4.08201	0.211	CR590450.1		RNF26	
11738738_at	0.0603	0.0206	2.45	-4.091997	0.163	BC136736.1		OR13G1	
11739970_a_at	0.0604	0.0206	-2.45	-4.092628	-0.257	AK291852.1		FUT3	
11732921_at	0.0604	0.0206	2.45	-4.093242	0.142	NM_001040061.1		FOXL2NB	
11759197_at	0.0604	0.0207	-2.45	-4.093545	-0.716	AI743862		RAB9B	
11746452_a_at	0.0609	0.0208	-2.45	-4.101477	-0.198	AK289532.1		ZHX1	
11718909_x_at	0.061	0.0209	-2.44	-4.104477	-0.426	NM_004267.3		CHST2	
11721427_at	0.0614	0.021	-2.44	-4.110518	-0.214	AK290386.1		FZD5	
11743136_x_at	0.0617	0.0212	-2.44	-4.115501	-0.48	BC105109.1		CEBPD	
11733564_at	0.0619	0.0213	2.44	-4.12052	0.205	NM_152571.2		C9orf163	
11726956_at	0.0621	0.0214	2.43	-4.124818	0.166	NM_004118.3		FOXS1	
11744653_x_at	0.0622	0.0214	-2.43	-4.125634	-0.158	M17597.1		UBC	
11742154_at	0.0622	0.0214	2.43	-4.125852	0.153	BC137198.1		OR5AK2	
11753846_at	0.0629	0.0217	2.43	-4.13852	0.179	AB180042.1		KRTAP21-3	
11741585_x_at	0.0633	0.0219	-2.43	-4.144769	-0.143	NM_001040192.1		DNAJC28	
11738680_at	0.0637	0.022	2.42	-4.151498	0.188	BC136879.1		OR56B4	
11735933_at	0.0642	0.0223	2.42	-4.160969	0.155	NM_001136003.1		C2CD4D	
11735980_at	0.0642	0.0223	2.42	-4.161956	0.145	NM_001005245.1		OR5M11	
11743135_s_at	0.0644	0.0223	-2.42	-4.164696	-0.442	BC105109.1		CEBPD	
11738163_at	0.0657	0.0229	2.41	-4.185818	0.207	BC137197.1		OR8A1	
11734627_at	0.0657	0.0229	2.4	-4.18721	0.107	NM_005372.1		MOS	
11738385_at	0.0657	0.0229	-2.4	-4.18728	-0.122	BC074938.2		NEUROG3	
11738977_at	0.0663	0.0231	2.4	-4.1966	0.192	NM_181624.1		KRTAP23-1	
11732982_at	0.0664	0.0232	2.4	-4.199125	0.124	NM_030905.2		OR2J2	
11736246_a_at	0.0665	0.0233	2.4	-4.200907	0.592	BQ000019		AMIGO2	
11728825_at	0.0674	0.0236	2.39	-4.21529	0.617	BC069216.1		TRNP1	
11725563_at	0.0676	0.0237	2.39	-4.218891	0.221	NM_175874.3		C12orf60	
11763999_at	0.068	0.0239	-2.39	-4.225913	-0.546	BQ786783		GPRIN3	
11732096_at	0.0688	0.0242	-2.38	-4.238478	-0.15	NM_001099221.1		TIFAB	
11736211_at	0.069	0.0243	2.38	-4.241942	0.446	NM_024026.4		MRPL57	
11759077_at	0.0699	0.0248	2.37	-4.25788	0.159	NM_003529.2		HIST1H3A	
11762622_at	0.0705	0.025	2.37	-4.266606	0.173	M60626.1		FPR1	
11750278_s_at	0.0708	0.0252	2.36	-4.272003	0.116	AK289557.1		HCAR1	
11755252_a_at	0.0709	0.0252	2.36	-4.273179	0.486	AK091761.1		AMIGO2	
11729725_at	0.0709	0.0252	2.36	-4.273896	0.162	AK292401.1		ZBTB6	
11716439_s_at	0.071	0.0253	2.36	-4.275981	0.178	NM_005642.2		TAF7	
11742608_x_at	0.0716	0.0255	2.36	-4.28373	0.161	NM_001001953.1		OR10G9	
11721569_a_at	0.0716	0.0255	-2.36	-4.284243	-0.613	NM_001145.4		ANG	
11741285_a_at	0.0725	0.0259	-2.35	-4.298899	-0.605	BC069438.1		ACKR4	
11741485_a_at	0.073	0.0261	-2.35	-4.30629	-0.156	NM_014926.2		SLITRK3	
11735525_a_at	0.073	0.0262	2.35	-4.306682	0.355	NM_144492.2		CLDN14	
11733166_at	0.0734	0.0263	-2.34	-4.312419	-0.496	NM_203422.1		LRRN4CL	
11736247_x_at	0.0736	0.0264	2.34	-4.315032	0.811	BQ000019		AMIGO2	
11721426_at	0.074	0.0266	-2.34	-4.320942	-0.412	NM_003468.3		FZD5	
11742899_a_at	0.0745	0.0268	-2.33	-4.328737	-0.242	CR456854.1		CGGBP1	
11750185_a_at	0.0746	0.0269	2.33	-4.330595	0.341	BC013906.2		CCDC71L	
11731134_a_at	0.075	0.027	2.33	-4.336717	0.273	D89078.1		LTB4R	
11740536_at	0.0756	0.0273	2.33	-4.344993	0.158	AB096944.1		KRTAP19-3	
11727760_s_at	0.0763	0.0276	2.32	-4.355093	0.143	NM_001127385.1		CTXN3	
11735452_at	0.0763	0.0276	2.32	-4.356095	0.251	BC103888.1		NHLRC1	
11759468_x_at	0.0763	0.0276	2.32	-4.356311	0.116	NM_178348.1		LCE1A	
11728087_a_at	0.0773	0.0281	2.31	-4.370321	0.157	AK289766.1		ZXDB	
11743934_a_at	0.0774	0.0281	2.31	-4.372131	0.455	AI186320		C1GALT1C1	
11732103_s_at	0.0783	0.0286	-2.31	-4.38553	-0.326	NM_003536.2		HIST1H3H	
11729724_at	0.0785	0.0287	2.3	-4.38926	0.243	NM_006626.4		ZBTB6	
11740697_a_at	0.0788	0.0288	2.3	-4.394208	0.143	BC074920.2		MAGEB6	
11722933_at	0.0792	0.029	2.3	-4.400177	0.181	CA429418		CHML	
11729889_at	0.0795	0.0291	-2.3	-4.402856	-0.123	BC142962.1		ZFP3	
11754430_a_at	0.0797	0.0292	2.3	-4.405633	0.159	BU631093		HPS6	
11718484_s_at	0.0801	0.0294	-2.29	-4.411788	-0.447	NM_005318.3		H1F0	
11737927_a_at	0.0801	0.0294	2.29	-4.412384	0.208	NM_001145652.1		C6orf141	
11737421_at	0.0805	0.0296	-2.29	-4.417991	-0.145	BC137241.1		SOWAHB	
11734324_at	0.0808	0.0298	2.29	-4.422663	0.252	NM_178422.4		PAQR7	
11740780_at	0.0811	0.0299	-2.29	-4.426338	-0.422	AF042832.1		FOXD2	
11742590_at	0.0812	0.0299	-2.29	-4.427231	-0.164	NM_001004690.1		OR2M5	
11757817_s_at	0.0815	0.0301	-2.28	-4.431667	-0.682	R25379		BASP1	
11732061_at	0.0817	0.0302	2.28	-4.434303	0.472	NM_013347.3		RPA4	
11732225_a_at	0.0822	0.0304	2.28	-4.440939	0.214	NM_152437.1		ZNF664	
11729977_a_at	0.0822	0.0304	-2.28	-4.441202	-0.571	NM_006564.1		CXCR6	
11738323_at	0.0829	0.0308	2.27	-4.452293	0.165	BC136989.1		OR5AP2	
11735489_at	0.083	0.0308	2.27	-4.453415	0.133	NM_145720.2		TIGD4	
11740191_a_at	0.0831	0.0308	2.27	-4.454384	0.115	AK290461.1		PRLHR	
11732816_x_at	0.0834	0.031	2.27	-4.4587	0.118	NM_001080513.1		CPN2	
11718908_s_at	0.0835	0.0311	-2.27	-4.460638	-0.371	NM_004267.3		CHST2	
11735853_x_at	0.0837	0.0311	2.27	-4.462452	0.0887	NM_013940.2		OR10H1	
11721894_at	0.0837	0.0311	-2.27	-4.462833	-0.879	NM_002048.2		GAS1	
11737572_x_at	0.0847	0.0316	2.26	-4.475995	0.177	NM_003511.2		HIST1H2AL	
11730622_at	0.0847	0.0316	-2.26	-4.476719	-0.115	BC117325.1		DSEL	
11756227_s_at	0.0848	0.0317	2.26	-4.477661	0.259	BX392378		PEX2	
11715242_s_at	0.0849	0.0317	-2.26	-4.478626	-0.159		14211868.0	LCE3D	
11745156_a_at	0.0849	0.0317	2.26	-4.47934	0.155	BC143622.1		OR13A1	
11732643_at	0.0854	0.0319	-2.26	-4.485693	-0.137	BC069158.1		OR2C1	
11721171_at	0.0854	0.032	2.26	-4.485954	0.169	U18543.1		TRIM32	
11740225_a_at	0.0856	0.032	2.25	-4.488366	0.168	AF149783.1		CHST4	
11726717_at	0.0856	0.0321	2.25	-4.489113	0.165	NM_152485.2		C1orf74	
11724927_at	0.0859	0.0322	2.25	-4.492524	0.434	NM_006242.3		PPP1R3D	
11745819_a_at	0.0861	0.0323	-2.25	-4.495043	-0.476	AK091372.1		H1F0	
11738822_at	0.0861	0.0323	2.25	-4.495338	0.114	NM_001005212.2		OR9Q1	
11726245_s_at	0.0864	0.0325	2.25	-4.5001	0.249	BC054014.1		HIST1H4C	
11717407_a_at	0.0869	0.0327	2.24	-4.50613	0.181	NM_148179.1		RPP25L	
11730392_at	0.0871	0.0327	2.24	-4.507689	0.152	BC067535.1		GPR4	
11739741_a_at	0.0873	0.0328	-2.24	-4.510353	-0.181	AK292773.1		B3GNT6	
11731976_at	0.0879	0.0331	2.24	-4.518189	0.15	BC017590.2		DNAJB3	
11737998_a_at	0.0889	0.0336	2.23	-4.530666	0.177	AY358120.1		LRRC3	
11759374_at	0.0898	0.034	2.23	-4.542093	0.179	NM_003534.2		HIST1H3G	
11763011_at	0.0898	0.0341	-2.23	-4.542668	-0.124	AB064057.1		IGKC	
11740828_at	0.09	0.0342	2.22	-4.545347	0.171	NM_003519.3		HIST1H2BL	
11722597_a_at	0.0901	0.0342	-2.22	-4.546299	-0.457	NM_020311.2		ACKR3	
11745091_s_at	0.0905	0.0344	-2.22	-4.55209	-0.211	BC008872.1		ZNF672	
11728082_s_at	0.0911	0.0347	2.22	-4.558987	0.122	NM_001128636.1		ELFN1	
11716988_s_at	0.0912	0.0347	-2.22	-4.559816	-0.179	NM_017761.3		PNRC2	
11759221_at	0.0917	0.035	2.21	-4.565785	0.182	NM_003545.3		HIST1H4E	
11742330_at	0.0921	0.0351	2.21	-4.570172	0.133	BC136988.1		OR9K2	
11731796_at	0.0924	0.0353	2.21	-4.574555	0.108	NM_152631.1		FAM47B	
11751071_a_at	0.0931	0.0356	2.21	-4.582528	0.115	AK297327.1		PABPC5	
11743212_x_at	0.0936	0.0359	2.2	-4.589197	0.184	NM_006607.2		PTTG2	
11729435_a_at	0.0941	0.0361	-2.2	-4.595162	-0.158	NM_005453.4		ZBTB22	
11740104_at	0.0951	0.0366	2.19	-4.606843	0.168	BC021711.2		APOBEC4	
11740561_at	0.0951	0.0366	-2.19	-4.607346	-0.0995	NM_000866.3		HTR1F	
11738748_at	0.0955	0.0368	2.19	-4.611096	0.113	BC137059.1		OR52K1	
11738712_at	0.0959	0.037	2.19	-4.615968	0.0967	BC137248.1		OR52K2	
11735939_at	0.0961	0.0371	-2.19	-4.619142	-0.097	BC101149.2		KRTAP2-4	
11738326_at	0.0971	0.0376	2.18	-4.630383	0.0961	BC111998.1		TAS2R19	
11715117_x_at	0.0972	0.0376	2.18	-4.631466	0.102		15718715.0	HIST1H2AJ	
11735961_at	0.0974	0.0377	2.18	-4.633839	0.123	NM_177455.3		BHLHA15	
11737911_a_at	0.0974	0.0378	2.18	-4.634023	0.565	BC020614.1		GPR84	
11743437_a_at	0.0975	0.0378	2.18	-4.634895	0.328	CB853194		EXO5	
11737996_at	0.0981	0.0381	2.17	-4.642011	0.344	NM_030891.3		LRRC3	
11742900_a_at	0.0981	0.0381	-2.17	-4.642826	-0.212	CA449639		CGGBP1	
11732710_a_at	0.0983	0.0382	2.17	-4.644788	0.129	NM_152630.3		FAM46D	
11734404_s_at	0.099	0.0385	-2.17	-4.651458	-0.192	NM_001114734.1		PABPC4L	
11735951_at	0.099	0.0385	2.17	-4.652046	0.141	NM_001052.2		SSTR4	
11725369_at	0.099	0.0385	2.17	-4.652311	0.353	NM_003125.2		SPRR1B	
11732240_a_at	0.1	0.039	-2.16	-4.662715	-1.13	AK292793.1		SLITRK6	
11717637_x_at	0.1	0.039	-2.16	-4.66358	-0.148	NM_001665.3		RHOG	
11742512_x_at	0.1	0.0392	-2.16	-4.666716	-0.114	NM_031960.1		KRTAP4-8	
11738298_at	0.101	0.0395	-2.16	-4.674147	-0.158	BC136631.1		SLC10A5	
11759133_at	0.101	0.0397	2.16	-4.678008	0.11	AF132748.1		RAB40A	
11715759_at	0.103	0.0403	-2.15	-4.69092	-0.319	NM_001001.3		RPL36AL	
11743213_at	0.103	0.0403	-2.15	-4.691092	-0.114	NM_175067.1		TAAR6	
11735231_at	0.103	0.0405	2.15	-4.69695	0.14	AI148004		SPATA12	
11734293_a_at	0.104	0.0408	2.14	-4.702436	0.116	BC064497.1		KCNJ11	
11734976_s_at	0.104	0.0408	-2.14	-4.703439	-0.116	NM_153027.1		FAM218A	
11727316_at	0.104	0.0409	-2.14	-4.70371	-0.153	EF535525.1		KCNE5	
11764060_x_at	0.104	0.041	2.14	-4.707305	0.165	AW007036		GJC2	
11725234_at	0.104	0.0411	2.14	-4.70821	0.105	AK292468.1		ZBTB39	
11732774_x_at	0.104	0.0411	2.14	-4.70912	0.286	NM_001137674.1		ZNF860	
11730994_at	0.104	0.0411	-2.14	-4.709906	-0.157	NM_003775.2		S1PR4	
11726294_s_at	0.104	0.0412	2.14	-4.711375	0.394	NM_004364.3		CEBPA	
11732979_at	0.104	0.0412	2.14	-4.711819	0.124	M28586.1		IFNA21	
11739814_a_at	0.106	0.0419	-2.13	-4.726818	-0.15	AF072872.1		FZD1	
11744441_a_at	0.106	0.042	-2.13	-4.727617	-0.564	AK295995.1		BASP1	
11737482_x_at	0.106	0.042	2.13	-4.728994	0.105	BC113474.1		CDR1	
11724118_a_at	0.107	0.0424	-2.12	-4.735836	-0.621	AK304779.1		SAMD9L	
11752869_s_at	0.107	0.0426	-2.12	-4.741225	-0.371	BC094715.1		CEBPD	
11751382_a_at	0.107	0.0427	-2.12	-4.742743	-0.133	AK303714.1		P2RY12	
11731423_at	0.108	0.0428	2.12	-4.744571	0.384	NM_001557.2		CXCR2	
11727714_at	0.108	0.0428	-2.12	-4.745151	-0.172	NM_021012.4		KCNJ12	
11724928_at	0.108	0.0429	2.12	-4.74702	0.223	BC074860.2		PPP1R3D	
11735655_at	0.108	0.043	2.12	-4.748928	0.121	NM_145178.2		ATOH7	
11738437_at	0.109	0.0434	2.11	-4.757874	0.0966	BC074923.2		SRY	
11758107_x_at	0.109	0.0437	2.11	-4.763537	0.103	AA085758		PCBP1	
11734374_a_at	0.11	0.044	2.11	-4.76824	0.0967	NM_033048.4		CPXCR1	
11727718_at	0.11	0.0441	-2.11	-4.771574	-0.117	BC157833.1		ZBTB42	
11736585_at	0.11	0.0442	-2.11	-4.772296	-0.222	AK290675.1		KCTD4	
11742613_x_at	0.11	0.0443	2.1	-4.774129	0.127	NM_001004463.1		OR10G7	
11725795_at	0.111	0.0445	-2.1	-4.778209	-0.127	NM_004230.3		S1PR2	
11726028_a_at	0.111	0.0448	2.1	-4.784407	0.188	NM_002386.3		MC1R	
11759393_at	0.112	0.0449	2.1	-4.786247	0.121	AB180041.1		KRTAP19-2	
11739363_a_at	0.112	0.0449	-2.1	-4.786515	-0.205	BE219198		FKRP	
11731803_a_at	0.112	0.0451	-2.1	-4.791333	-0.472	CN478733		COLCA1	
11730909_s_at	0.112	0.0453	-2.09	-4.794886	-0.32	NM_000579.3		CCR5	
11744541_a_at	0.113	0.0454	-2.09	-4.795632	-0.419	BC036661.2		ACKR3	
11734610_x_at	0.113	0.0455	-2.09	-4.79921	-0.126	NM_001012503.1		KRTAP5-7	
11755856_a_at	0.113	0.0456	2.09	-4.800493	0.169	BC115377.1		C2orf16	
11742000_at	0.113	0.0457	2.09	-4.801363	0.096	NM_001004736.2		OR5K1	
11730654_at	0.113	0.0457	2.09	-4.803117	0.151	NM_001130448.1		C15orf62	
11725939_at	0.113	0.0458	-2.09	-4.804269	-0.0757	NM_017594.3		DIRAS2	
11727518_at	0.114	0.046	-2.09	-4.807663	-0.17	NM_032882.3		PNMA6A	
11719778_s_at	0.114	0.0462	2.08	-4.81103	0.522	CB985554		FOXC1	
11743071_a_at	0.114	0.0463	-2.08	-4.813638	-0.662	AF000546.1		LPAR6	
11729898_at	0.115	0.0467	2.08	-4.820697	0.495	NM_022090.3		ZBED8	
11737224_at	0.115	0.0467	2.08	-4.821589	0.107	BC069581.1		MAS1	
11727312_at	0.116	0.0472	-2.07	-4.830418	-0.444	NM_152414.3		BHLHE22	
11743217_at	0.116	0.0473	2.07	-4.831664	0.128	NM_021247.1		PRM3	
11737774_a_at	0.117	0.0475	2.07	-4.835714	0.672	NM_152737.2		RNF182	
11715157_s_at	0.117	0.0478	2.07	-4.841551	0.112		31791031.0	KRTAP19-2	
11738289_at	0.118	0.0483	-2.06	-4.850773	-0.169	AB076359.1		KRTAP10-11	
11730849_at	0.118	0.0484	2.06	-4.852739	0.272	NM_032859.2		ABHD13	
11735419_at	0.119	0.0485	2.06	-4.854613	0.262	M81589.1		HTR1D	
11741938_x_at	0.119	0.0487	-2.06	-4.85863	-0.124	AB126080.1		KRTAP5-11	
11723036_at	0.119	0.0489	2.06	-4.860722	0.405	BC011713.2		TRMT12	
11722276_at	0.121	0.0497	2.05	-4.875769	0.293	BC167155.1		ZBED4	
11724119_at	0.122	0.0503	-2.04	-4.886739	-0.508	NM_152703.2		SAMD9L	
11734392_at	0.122	0.0504	2.04	-4.887373	0.0869	BC101762.1		TAS2R10	
11724629_at	0.123	0.0506	-2.04	-4.892127	-0.247	BC110824.1		TUSC1	
11735925_x_at	0.124	0.051	2.04	-4.898702	0.156	BC120942.1		KRTAP12-1	
11742147_at	0.124	0.0513	-2.03	-4.903409	-0.133	BC140928.1		OR52B4	
11744342_x_at	0.124	0.0515	2.03	-4.906215	0.191	BC051696.1		ZNF664	
11742584_at	0.125	0.052	2.03	-4.915705	0.111	NM_001146033.1		OR56A5	
11752501_a_at	0.126	0.0521	-2.03	-4.917465	-0.466	AF030297.1		ACKR3	
11740125_x_at	0.126	0.0522	2.03	-4.918377	0.175	NM_003514.2		HIST1H2AM	
11726909_at	0.127	0.0528	2.02	-4.929079	0.136	NM_024508.3		ZBED2	
11756605_x_at	0.129	0.054	-2.01	-4.94782	-0.135	BC098138.1		PCDHB2	
11738497_at	0.129	0.054	2.01	-4.948615	0.117	BC113557.1		OR5P2	
11758528_s_at	0.13	0.0545	-2.01	-4.956089	-0.0991	AI821557		PCDHB6	
11733912_at	0.131	0.055	2.0	-4.963086	0.153	DA101380		HS3ST1	
11747429_a_at	0.131	0.055	2.0	-4.963664	0.135	BC122549.1		ZNF260	
11738737_at	0.131	0.0553	-2.0	-4.968358	-0.12	BC136903.1		OR2A12	
11729044_at	0.132	0.0554	2.0	-4.970495	0.351	NM_152430.3		OR51E1	
11746283_s_at	0.133	0.0561	1.99	-4.980654	0.133	BC063625.1		KRTAP2-3	
11735517_a_at	0.133	0.0564	1.99	-4.985823	0.105	BC100985.1		TRIM60	
11736895_s_at	0.134	0.0565	1.99	-4.987154	0.192	NM_080867.2		SOCS4	
11735857_at	0.134	0.0568	1.99	-4.991507	0.227	NM_176891.4		IFNE	
11734234_at	0.134	0.0569	1.98	-4.993031	0.261	NM_021064.4		HIST1H2AG	
11759216_at	0.135	0.0573	1.98	-4.999398	0.12	AF217745.1		PCDHB13	
11738978_x_at	0.136	0.0576	1.98	-5.004226	0.133	NM_181624.1		KRTAP23-1	
11763132_x_at	0.136	0.058	-1.98	-5.009165	-0.494	AY942116.1		IGKC	
11742604_at	0.138	0.059	-1.97	-5.024213	-0.0927	NM_001005499.1		OR6C70	
11738378_x_at	0.139	0.0592	1.97	-5.026894	0.0812	BC074936.2		IFNA2	
11745443_x_at	0.139	0.0592	1.97	-5.027098	0.351	BC050697.1		DCAF16	
11733944_at	0.142	0.061	1.95	-5.052986	0.259	BM998282		RAP2B	
11742592_x_at	0.142	0.0611	-1.95	-5.055349	-0.13	NM_001004690.1		OR2M5	
11744086_a_at	0.142	0.0612	-1.95	-5.055842	-0.3	CB305618		PRR15L	
11731293_at	0.142	0.0612	1.95	-5.05673	0.0974	NM_052910.1		SLITRK1	
11742589_at	0.144	0.0622	-1.94	-5.070624	-0.115	NM_001004717.1		OR4L1	
11718801_a_at	0.146	0.063	1.93	-5.081441	0.358	NM_152374.1		C1orf216	
11759270_at	0.146	0.063	1.93	-5.081745	0.119	BC093755.1		IFNA5	
11764059_at	0.146	0.0631	1.93	-5.082774	0.164	AW007036		GJC2	
11720882_at	0.146	0.0634	-1.93	-5.086044	-0.229	NM_016074.3		BOLA1	
11759760_s_at	0.147	0.0636	-1.93	-5.08892	-0.49	BC105595.1		HIST1H2BC	
11743628_at	0.147	0.0637	1.93	-5.090783	0.509	BQ185142		IRS1	
11728836_s_at	0.147	0.0637	-1.93	-5.091196	-0.104	NM_178839.4		LRRTM1	
11718050_a_at	0.148	0.0641	-1.93	-5.096387	-0.598	BC000518.2		BASP1	
11742323_at	0.149	0.0647	1.92	-5.103655	0.109	BC136877.1		OR51F2	
11720991_s_at	0.149	0.0649	-1.92	-5.105999	-0.135	BU552731		SOX2	
11720253_s_at	0.149	0.0649	1.92	-5.106656	0.197	NM_005749.2		TOB1	
11726101_s_at	0.149	0.0649	1.92	-5.106667	0.0944	BC031889.1		CALML3	
11715223_s_at	0.151	0.0659	1.91	-5.119164	0.125		21687142.0	RNASE8	
11715116_s_at	0.151	0.066	1.91	-5.121725	0.266		21264600.0	HIST1H4E	
11738730_at	0.152	0.0663	-1.91	-5.125284	-0.114	BC137061.1		OR5A1	
11722516_at	0.152	0.0664	1.91	-5.125885	0.192	NM_152268.2		PARS2	
11730065_at	0.152	0.0665	-1.91	-5.127786	-0.255	NM_033208.2		TIGD7	
11728317_a_at	0.153	0.0669	1.91	-5.13247	0.166	BC013062.1		FAM122A	
11724129_at	0.153	0.0673	-1.9	-5.138064	-0.5	NM_019062.1		RNF186	
11738313_at	0.154	0.0674	1.9	-5.138562	0.127	BC137146.1		PRR23B	
11754074_s_at	0.154	0.0674	1.9	-5.139258	0.667	CR542179.1		G0S2	
11763549_at	0.154	0.0676	1.9	-5.14119	0.134	BC031306.1		JRKL	
11733379_at	0.155	0.0679	1.9	-5.145557	0.143	BC035027.1		DCAF4L1	
11716329_s_at	0.155	0.068	-1.9	-5.147243	-0.413	NM_000165.3		GJA1	
11734035_a_at	0.155	0.0681	1.9	-5.147551	0.957	NM_001462.3		FPR2	
11715158_s_at	0.155	0.0681	-1.9	-5.148044	-0.0855		31791027.0	KRTAP19-4	
11732922_at	0.155	0.0684	1.89	-5.151779	0.207	NM_021954.3		GJA3	
11729266_x_at	0.156	0.0687	1.89	-5.15551	0.234	NM_006945.4		SPRR2D	
11738904_a_at	0.157	0.0693	1.89	-5.162236	0.102	NM_032524.1		KRTAP4-4	
11735072_at	0.157	0.0694	1.89	-5.163628	0.124	BC105640.1		PCDHB9	
11742627_at	0.157	0.0694	1.89	-5.163941	0.124	NM_001004724.1		OR4N5	
11726388_at	0.157	0.0694	1.89	-5.164153	0.149	NM_030663.2		SMCP	
11722238_a_at	0.157	0.0695	-1.89	-5.165089	-0.225	NM_153741.1		DPM3	
11741167_at	0.158	0.0698	1.88	-5.169356	0.138	BC136801.1		PCDHB8	
11739673_at	0.158	0.0699	1.88	-5.170246	0.28	NM_020786.1		PDP2	
11728754_at	0.159	0.0704	1.88	-5.176895	0.161	BC057820.1		TEX19	
11737781_a_at	0.159	0.0705	-1.88	-5.177654	-0.632	NM_177949.2		ARMCX2	
11735449_at	0.159	0.0706	1.88	-5.178655	0.131	NM_024019.2		NEUROG2	
11726365_a_at	0.16	0.0708	-1.88	-5.181568	-0.225	NM_207332.1		ERICH1	
11718693_at	0.16	0.071	1.88	-5.183159	0.253	NM_032936.3		TMEM60	
11732069_at	0.161	0.0716	-1.87	-5.190844	-0.088	NM_022049.2		GPR88	
11742551_at	0.161	0.0719	1.87	-5.194299	0.0945	NM_030903.3		OR2W1	
11747233_a_at	0.162	0.072	1.87	-5.19581	0.316	AK299614.1		KBTBD7	
11735720_s_at	0.162	0.0721	1.87	-5.196745	0.428	NM_022838.2		ARMCX5	
11715219_s_at	0.162	0.0723	1.87	-5.198639	0.159		15718713.0	HIST1H2AI	
11720164_at	0.162	0.0724	1.87	-5.200712	0.149	NM_022110.3		FKBPL	
11751551_x_at	0.164	0.0731	1.86	-5.208355	0.116	AB126074.1		KRTAP5-5	
11729054_at	0.164	0.0735	-1.86	-5.212751	-0.254	NM_198540.2		B3GNT8	
11738290_x_at	0.165	0.0738	-1.86	-5.21697	-0.147	AB076359.1		KRTAP10-11	
11742358_at	0.166	0.0743	1.85	-5.222294	0.0969	BC140917.1		OR5AN1	
11737071_at	0.166	0.0743	1.85	-5.2224	0.087	NM_052952.2		DIRC1	
11742352_at	0.167	0.0748	1.85	-5.228263	0.0978	BC140756.1		OR2Y1	
11733956_at	0.167	0.0748	1.85	-5.228395	0.18	NM_001014450.1		SPRR2F	
11742618_at	0.167	0.075	1.85	-5.230138	0.0985	NM_001004712.1		OR4K14	
11742588_at	0.168	0.0756	-1.84	-5.237093	-0.13	NM_054105.1		OR6C2	
11742901_a_at	0.168	0.0756	-1.84	-5.237392	-0.18	AI189258		CGGBP1	
11740484_a_at	0.168	0.0759	-1.84	-5.239801	-0.131	NM_201286.2		USP51	
11736886_a_at	0.169	0.0761	1.84	-5.242713	0.103	AF218840.1		PAPOLB	
11723605_a_at	0.169	0.0762	1.84	-5.243254	0.218	NM_138371.1		PCED1B	
11758136_s_at	0.17	0.0766	-1.84	-5.248445	-0.222	DB331421		SLC35G2	
11743238_at	0.171	0.0773	1.83	-5.255465	0.131	NM_001105581.1		LRRC30	
11728059_s_at	0.171	0.0775	-1.83	-5.25798	-0.198	NM_013368.3		SERTAD3	
11738494_at	0.171	0.0776	1.83	-5.258809	0.079	BC093989.1		OCLM	
11719841_s_at	0.171	0.0776	1.83	-5.258874	0.148	NM_012396.3		PHLDA3	
11742525_at	0.172	0.078	-1.83	-5.263529	-0.153	NM_001005162.2		OR52B6	
11738103_at	0.172	0.0781	1.83	-5.264553	0.114	BC093763.1		HIST1H4F	
11733945_at	0.174	0.0789	1.82	-5.27278	0.183	NM_002886.2		RAP2B	
11734093_at	0.174	0.079	1.82	-5.273895	0.0954	BC026075.2		CCER1	
11741286_a_at	0.174	0.0791	-1.82	-5.275619	-0.551	AF110640.1		ACKR4	
11737108_a_at	0.174	0.0792	-1.82	-5.276045	-0.291	NM_178445.1		ACKR4	
11738732_at	0.174	0.0792	1.82	-5.276495	0.0881	BC137245.1		OR2G6	
11738505_at	0.175	0.0794	-1.82	-5.278716	-0.104	BC113536.1		KRTAP13-1	
11742354_at	0.175	0.0795	1.82	-5.279355	0.112	BC140733.1		OR5M10	
11751552_at	0.175	0.0797	1.82	-5.281434	0.138	AK296576.1		RNF223	
11730329_a_at	0.175	0.0798	1.82	-5.283228	0.305	NM_001362.3		DIO3	
11757543_s_at	0.176	0.0801	-1.81	-5.286503	-0.427	CN263118		MYADM	
11730694_at	0.177	0.0807	1.81	-5.292769	0.158	NM_198568.2		GJB7	
11759385_at	0.177	0.0808	1.81	-5.293567	0.118	BC136876.1		OR5T2	
11731225_a_at	0.178	0.0812	1.81	-5.297792	0.146	NM_052906.3		ELFN2	
