GeneName	count	Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Transcript count	Transcript length (including UTRs and CDS)	Length/#Mod
SLC16A13	5	ENSG00000174327	ENSG00000174327.7	17	7036015	7040117	1	SLC16A13	2	1804	360.8
BZW2	5	ENSG00000136261	ENSG00000136261.16	7	16646131	16706523	1	BZW2	13	1804	360.8
LEO1	6	ENSG00000166477	ENSG00000166477.13	15	51938025	51971778	-1	LEO1	3	2165	360.8333333333333
DKK1	5	ENSG00000107984	ENSG00000107984.10	10	52314281	52318042	1	DKK1	4	1805	361.0
TBC1D5	18	ENSG00000131374	ENSG00000131374.15	3	17157162	18444817	-1	TBC1D5	31	6500	361.1111111111111
ATAD1	12	ENSG00000138138	ENSG00000138138.14	10	87751512	87841361	-1	ATAD1	8	4334	361.1666666666667
LMNB1	8	ENSG00000113368	ENSG00000113368.12	5	126776623	126837020	1	LMNB1	8	2890	361.25
FNBP1	15	ENSG00000187239	ENSG00000187239.19	9	129887187	130043189	-1	FNBP1	13	5420	361.3333333333333
TBC1D4	21	ENSG00000136111	ENSG00000136111.14	13	75283503	75482169	-1	TBC1D4	8	7588	361.3333333333333
PALM	8	ENSG00000099864	ENSG00000099864.18	19	708935	748329	1	PALM	11	2891	361.375
SRC	12	ENSG00000291971	ENSG00000291971.1	HG410_PATCH	254187	315552	1	SRC	14	4337	361.4166666666667
DCAKD	6	ENSG00000172992	ENSG00000172992.13	17	45023338	45061131	-1	DCAKD	33	2171	361.8333333333333
LIG4	11	ENSG00000174405	ENSG00000174405.15	13	108207439	108218368	-1	LIG4	19	3981	361.90909090909093
WASHC4	16	ENSG00000136051	ENSG00000136051.15	12	105107324	105169130	1	WASHC4	14	5791	361.9375
NGLY1	7	ENSG00000151092	ENSG00000151092.18	3	25718944	25790039	-1	NGLY1	21	2534	362.0
HGH1	7	ENSG00000235173	ENSG00000235173.7	8	144137774	144140851	1	HGH1	7	2534	362.0
CAPZA2	14	ENSG00000198898	ENSG00000198898.16	7	116811070	116922049	1	CAPZA2	13	5068	362.0
HIVEP1	25	ENSG00000095951	ENSG00000095951.18	6	12008762	12164999	1	HIVEP1	10	9053	362.12
PPP6R1	11	ENSG00000105063	ENSG00000105063.19	19	55229779	55259017	-1	PPP6R1	8	3984	362.1818181818182
MAP4K4	22	ENSG00000071054	ENSG00000071054.17	2	101696850	101894690	1	MAP4K4	18	7970	362.27272727272725
MTIF2	7	ENSG00000085760	ENSG00000085760.15	2	55236595	55269347	-1	MTIF2	12	2536	362.2857142857143
HOXC11	9	ENSG00000123388	ENSG00000123388.4	12	53973126	53977643	1	HOXC11	2	3261	362.3333333333333
YEATS2	18	ENSG00000163872	ENSG00000163872.16	3	183697797	183812624	1	YEATS2	6	6526	362.55555555555554
PIAS1	22	ENSG00000033800	ENSG00000033800.14	15	68054309	68198603	1	PIAS1	8	7980	362.72727272727275
EPHB4	12	ENSG00000196411	ENSG00000196411.10	7	100802565	100827523	-1	EPHB4	10	4353	362.75
SERGEF	4	ENSG00000129158	ENSG00000129158.11	11	17788048	18013047	-1	SERGEF	23	1451	362.75
FYN	10	ENSG00000010810	ENSG00000010810.18	6	111660332	111873452	-1	FYN	28	3628	362.8
ANKZF1	7	ENSG00000163516	ENSG00000163516.14	2	219229783	219236679	1	ANKZF1	26	2540	362.85714285714283
KLF15	7	ENSG00000163884	ENSG00000163884.4	3	126342635	126357408	-1	KLF15	2	2540	362.85714285714283
XKR8	6	ENSG00000158156	ENSG00000158156.9	1	27959588	27968093	1	XKR8	9	2178	363.0
SEC24B	14	ENSG00000138802	ENSG00000138802.11	4	109433772	109540896	1	SEC24B	3	5083	363.07142857142856
SPHK1	5	ENSG00000176170	ENSG00000176170.14	17	76376584	76387860	1	SPHK1	10	1816	363.2
MORN2	2	ENSG00000188010	ENSG00000188010.16	2	38875976	38929072	1	MORN2	6	727	363.5
TXLNG	12	ENSG00000086712	ENSG00000086712.13	X	16786432	16844519	1	TXLNG	3	4362	363.5
EFCAB14	16	ENSG00000159658	ENSG00000159658.15	1	46674659	46719146	-1	EFCAB14	14	5817	363.5625
PRPF31	6	ENSG00000276421	ENSG00000276421.4	HSCHR19LRC_LRC_S_CTG3_1	89903	106263	1	PRPF31	2	2183	363.8333333333333
PLXND1	19	ENSG00000004399	ENSG00000004399.13	3	129555214	129606676	-1	PLXND1	17	6913	363.8421052631579
DDX19B	9	ENSG00000157349	ENSG00000157349.17	16	70289663	70335305	1	DDX19B	16	3275	363.8888888888889
MED22	12	ENSG00000281022	ENSG00000281022.3	HG2030_PATCH	164406	174225	-1	MED22	10	4367	363.9166666666667
FAH	4	ENSG00000103876	ENSG00000103876.14	15	80152490	80186946	1	FAH	18	1456	364.0
GPN3	4	ENSG00000111231	ENSG00000111231.9	12	110452486	110469268	-1	GPN3	10	1457	364.25
CDC27	16	ENSG00000004897	ENSG00000004897.12	17	47117703	47189422	-1	CDC27	19	5830	364.375
CRBN	6	ENSG00000113851	ENSG00000113851.16	3	3144628	3179727	-1	CRBN	14	2187	364.5
PALS1	15	ENSG00000072415	ENSG00000072415.10	14	67240713	67336061	1	PALS1	13	5468	364.53333333333336
NADK2	11	ENSG00000152620	ENSG00000152620.13	5	36192589	36242279	-1	NADK2	11	4011	364.6363636363636
SMYD5	7	ENSG00000135632	ENSG00000135632.12	2	73214222	73227221	1	SMYD5	9	2554	364.85714285714283
JMJD1C	24	ENSG00000171988	ENSG00000171988.20	10	63167221	63521850	-1	JMJD1C	11	8758	364.9166666666667
SPATA33	4	ENSG00000167523	ENSG00000167523.15	16	89657740	89671272	1	SPATA33	10	1460	365.0
SEMA4C	10	ENSG00000168758	ENSG00000168758.11	2	96859718	96870757	-1	SEMA4C	6	3652	365.2
BARD1	15	ENSG00000138376	ENSG00000138376.11	2	214725646	214809683	-1	BARD1	15	5478	365.2
MTMR12	14	ENSG00000150712	ENSG00000150712.11	5	32226994	32312987	-1	MTMR12	7	5116	365.42857142857144
DBF4	10	ENSG00000006634	ENSG00000006634.8	7	87876216	87909553	1	DBF4	8	3655	365.5
CD48	3	ENSG00000117091	ENSG00000117091.10	1	160678746	160711831	-1	CD48	3	1097	365.6666666666667
CNOT1	23	ENSG00000125107	ENSG00000125107.19	16	58519951	58629885	-1	CNOT1	22	8411	365.69565217391306
MEIS2	15	ENSG00000134138	ENSG00000134138.22	15	36889204	37101299	-1	MEIS2	38	5486	365.73333333333335
CPSF6	18	ENSG00000111605	ENSG00000111605.18	12	69239569	69274358	1	CPSF6	8	6584	365.77777777777777
CNOT6	17	ENSG00000113300	ENSG00000113300.13	5	180494379	180578358	1	CNOT6	7	6219	365.8235294117647
SNHG10	3	ENSG00000247092	ENSG00000247092.10	14	95521937	95534925	-1	SNHG10	36	1098	366.0
CYB561	8	ENSG00000008283	ENSG00000008283.16	17	63432304	63446354	-1	CYB561	21	2929	366.125
FBXO11	13	ENSG00000138081	ENSG00000138081.22	2	47789316	47906498	-1	FBXO11	18	4760	366.15384615384613
COPS7A	5	ENSG00000111652	ENSG00000111652.10	12	6724014	6731875	1	COPS7A	22	1831	366.2
DSCC1	6	ENSG00000136982	ENSG00000136982.6	8	119833976	119855894	-1	DSCC1	2	2198	366.3333333333333
MRPS5	9	ENSG00000144029	ENSG00000144029.14	2	95085369	95122006	-1	MRPS5	15	3298	366.44444444444446
NUDT16L1	4	ENSG00000168101	ENSG00000168101.15	16	4693562	4695859	1	NUDT16L1	5	1466	366.5
IMMP1L	2	ENSG00000148950	ENSG00000148950.11	11	31432401	31509645	-1	IMMP1L	16	733	366.5
TTC38	7	ENSG00000075234	ENSG00000075234.17	22	46267961	46294008	1	TTC38	7	2566	366.57142857142856
ANKRD50	24	ENSG00000151458	ENSG00000151458.12	4	124664048	124712732	-1	ANKRD50	2	8798	366.5833333333333
SEC14L1	15	ENSG00000129657	ENSG00000129657.16	17	77088749	77217101	1	SEC14L1	23	5500	366.6666666666667
CUEDC2	3	ENSG00000107874	ENSG00000107874.11	10	102423245	102432584	-1	CUEDC2	4	1100	366.6666666666667
DHRS3	6	ENSG00000162496	ENSG00000162496.10	1	12567909	12620133	-1	DHRS3	12	2201	366.8333333333333
PCDHGA1	13	ENSG00000204956	ENSG00000204956.6	5	141330514	141512975	1	PCDHGA1	2	4769	366.84615384615387
PDE8A	11	ENSG00000073417	ENSG00000073417.15	15	84980440	85139145	1	PDE8A	16	4036	366.90909090909093
CHURC1-FNTB	4	ENSG00000125954	ENSG00000125954.13	14	64914485	65061803	1	CHURC1-FNTB	4	1468	367.0
MPHOSPH6	3	ENSG00000135698	ENSG00000135698.10	16	82147798	82170224	-1	MPHOSPH6	8	1101	367.0
CDC42SE2	12	ENSG00000158985	ENSG00000158985.14	5	131245493	131398447	1	CDC42SE2	12	4404	367.0
RPF2	10	ENSG00000197498	ENSG00000197498.13	6	110982015	111028263	1	RPF2	4	3671	367.1
ST14	9	ENSG00000149418	ENSG00000149418.11	11	130159782	130210362	1	ST14	4	3305	367.22222222222223
EEFSEC	6	ENSG00000132394	ENSG00000132394.11	3	128153481	128408646	1	EEFSEC	4	2205	367.5
UCHL1	3	ENSG00000154277	ENSG00000154277.13	4	41256413	41268455	1	UCHL1	12	1103	367.6666666666667
UIMC1	7	ENSG00000087206	ENSG00000087206.17	5	176905005	177022633	-1	UIMC1	14	2574	367.7142857142857
SUPT5H	10	ENSG00000196235	ENSG00000196235.14	19	39436156	39476670	1	SUPT5H	20	3678	367.8
TANC2	34	ENSG00000170921	ENSG00000170921.16	17	62966235	63427703	1	TANC2	11	12511	367.97058823529414
SRPRB	7	ENSG00000144867	ENSG00000144867.13	3	133784023	133825772	1	SRPRB	6	2576	368.0
RHOD	3	ENSG00000173156	ENSG00000173156.7	11	67056847	67072017	1	RHOD	3	1104	368.0
PRR13	3	ENSG00000205352	ENSG00000205352.11	12	53441678	53446645	1	PRR13	13	1105	368.3333333333333
COTL1	5	ENSG00000103187	ENSG00000103187.8	16	84565596	84618078	-1	COTL1	6	1842	368.4
NCOA7	17	ENSG00000111912	ENSG00000111912.20	6	125781161	125932034	1	NCOA7	11	6264	368.47058823529414
CCAR2	10	ENSG00000158941	ENSG00000158941.17	8	22604757	22620964	1	CCAR2	13	3685	368.5
OTUD4	21	ENSG00000164164	ENSG00000164164.17	4	145110838	145180589	-1	OTUD4	10	7741	368.6190476190476
ISCA2	7	ENSG00000165898	ENSG00000165898.14	14	74493756	74497106	1	ISCA2	4	2581	368.7142857142857
CD46	9	ENSG00000117335	ENSG00000117335.21	1	207752037	207795513	1	CD46	33	3320	368.8888888888889
KDM5A	29	ENSG00000073614	ENSG00000073614.13	12	280057	389320	-1	KDM5A	11	10701	369.0
GPSM3	4	ENSG00000233490	ENSG00000233490.7	HSCHR6_MHC_COX_CTG1	3629115	3633872	-1	GPSM3	4	1476	369.0
GNB1L	18	ENSG00000185838	ENSG00000185838.14	22	19783223	19854939	-1	GNB1L	6	6642	369.0
PHF6	12	ENSG00000156531	ENSG00000156531.18	X	134373288	134428791	1	PHF6	12	4430	369.1666666666667
DYNC1H1	54	ENSG00000197102	ENSG00000197102.14	14	101964573	102056443	1	DYNC1H1	64	19940	369.25925925925924
ATP1B1	6	ENSG00000143153	ENSG00000143153.14	1	169105697	169310992	1	ATP1B1	19	2216	369.3333333333333
MTHFR	19	ENSG00000177000	ENSG00000177000.13	1	11785723	11806455	-1	MTHFR	19	7018	369.36842105263156
CNPY4	4	ENSG00000166997	ENSG00000166997.8	7	100119634	100125508	1	CNPY4	5	1478	369.5
ZFP69B	6	ENSG00000187801	ENSG00000187801.15	1	40450102	40463718	1	ZFP69B	4	2217	369.5
ATP5MC3	7	ENSG00000154518	ENSG00000154518.10	2	175176258	175181710	-1	ATP5MC3	5	2587	369.57142857142856
YRDC	5	ENSG00000196449	ENSG00000196449.4	1	37802945	37808208	-1	YRDC	1	1848	369.6
CHIC2	3	ENSG00000109220	ENSG00000109220.12	4	53994803	54064605	-1	CHIC2	4	1109	369.6666666666667
CD55	7	ENSG00000196352	ENSG00000196352.18	1	207321519	207386804	1	CD55	23	2590	370.0
CDH1	13	ENSG00000039068	ENSG00000039068.20	16	68737292	68835537	1	CDH1	11	4811	370.0769230769231
MMP14	10	ENSG00000157227	ENSG00000157227.14	14	22836560	22849041	1	MMP14	8	3701	370.1
IRS2	22	ENSG00000185950	ENSG00000185950.9	13	109752695	109786583	-1	IRS2	1	8156	370.72727272727275
TRADD	4	ENSG00000102871	ENSG00000102871.16	16	67154185	67159909	-1	TRADD	5	1483	370.75
TTK	8	ENSG00000112742	ENSG00000112742.10	6	80003887	80042527	1	TTK	11	2966	370.75
SLC35B4	18	ENSG00000205060	ENSG00000205060.11	7	134289332	134316930	-1	SLC35B4	4	6676	370.8888888888889
THBS1	21	ENSG00000137801	ENSG00000137801.11	15	39581079	39599466	1	THBS1	8	7789	370.9047619047619
RPL34P31	1	ENSG00000239223	ENSG00000239223.3	17	27274107	27274477	1	RPL34P31	1	371	371.0
U2SURP	20	ENSG00000163714	ENSG00000163714.18	3	142964497	143060725	1	U2SURP	17	7424	371.2
SMAD7	9	ENSG00000101665	ENSG00000101665.10	18	48919853	48950965	-1	SMAD7	8	3341	371.22222222222223
SAP130	11	ENSG00000136715	ENSG00000136715.19	2	127941217	128028120	-1	SAP130	6	4084	371.27272727272725
NSD3	29	ENSG00000147548	ENSG00000147548.17	8	38269704	38382272	-1	NSD3	12	10768	371.3103448275862
ETNK1	19	ENSG00000139163	ENSG00000139163.16	12	22625075	22690665	1	ETNK1	12	7063	371.7368421052632
OTUD7B	24	ENSG00000264522	ENSG00000264522.6	1	149937812	150010726	-1	OTUD7B	3	8922	371.75
MMAB	11	ENSG00000139428	ENSG00000139428.12	12	109553715	109573580	-1	MMAB	10	4090	371.8181818181818
TARBP1	14	ENSG00000059588	ENSG00000059588.10	1	234391313	234479179	-1	TARBP1	9	5206	371.85714285714283
RPL31P11	1	ENSG00000213075	ENSG00000213075.8	1	161684838	161685209	-1	RPL31P11	1	372	372.0
DNAJC8P1	1	ENSG00000259022	ENSG00000259022.2	14	35430260	35430631	1	DNAJC8P1	1	372	372.0
RAB11FIP1	22	ENSG00000156675	ENSG00000156675.16	8	37858618	37899497	-1	RAB11FIP1	6	8185	372.04545454545456
FBRSL1	13	ENSG00000112787	ENSG00000112787.14	12	132489551	132585188	1	FBRSL1	9	4839	372.2307692307692
SIRT2	5	ENSG00000283100	ENSG00000283100.2	HG26_PATCH	288227	309534	-1	SIRT2	19	1862	372.4
GOLGA2P7	2	ENSG00000291635	ENSG00000291635.1	HG2280_PATCH	809654	811107	-1	GOLGA2P7	1	745	372.5
NUDT8	2	ENSG00000167799	ENSG00000167799.10	11	67627938	67629937	-1	NUDT8	3	745	372.5
PTPRA	9	ENSG00000132670	ENSG00000132670.21	20	2873420	3039076	1	PTPRA	7	3353	372.55555555555554
C1orf198	10	ENSG00000119280	ENSG00000119280.17	1	230837119	230869589	-1	C1orf198	7	3726	372.6
LIMK1	9	ENSG00000106683	ENSG00000106683.15	7	74082933	74122525	1	LIMK1	8	3355	372.77777777777777
CELSR3	32	ENSG00000008300	ENSG00000008300.17	3	48636463	48662886	-1	CELSR3	4	11933	372.90625
ARHGAP29	24	ENSG00000137962	ENSG00000137962.13	1	94148988	94275068	-1	ARHGAP29	5	8952	373.0
TPD52L1	6	ENSG00000111907	ENSG00000111907.21	6	125119049	125264407	1	TPD52L1	17	2239	373.1666666666667
PTRHD1	3	ENSG00000184924	ENSG00000184924.6	2	24789728	24793391	-1	PTRHD1	6	1120	373.3333333333333
ZMIZ2	14	ENSG00000122515	ENSG00000122515.16	7	44748581	44769881	1	ZMIZ2	14	5228	373.42857142857144
DVL2	8	ENSG00000004975	ENSG00000004975.12	17	7225342	7234517	-1	DVL2	15	2989	373.625
VASP	6	ENSG00000125753	ENSG00000125753.15	19	45506579	45526989	1	VASP	13	2242	373.6666666666667
SALL2	13	ENSG00000165821	ENSG00000165821.12	14	21521080	21537216	-1	SALL2	7	4861	373.9230769230769
NEK7	11	ENSG00000151414	ENSG00000151414.15	1	198156994	198322420	1	NEK7	8	4114	374.0
INCENP	11	ENSG00000149503	ENSG00000149503.14	11	62123998	62155474	1	INCENP	6	4114	374.0
LCAT	4	ENSG00000213398	ENSG00000213398.8	16	67939750	67944131	-1	LCAT	9	1496	374.0
C19orf33	1	ENSG00000167644	ENSG00000167644.12	19	38304164	38305006	1	C19orf33	4	374	374.0
CDK5	3	ENSG00000164885	ENSG00000164885.13	7	151053815	151057897	-1	CDK5	5	1122	374.0
TTC17	12	ENSG00000052841	ENSG00000052841.16	11	43358920	43494933	1	TTC17	16	4488	374.0
CREB3	4	ENSG00000107175	ENSG00000107175.12	9	35732598	35736999	1	CREB3	2	1496	374.0
GFM2	8	ENSG00000164347	ENSG00000164347.18	5	74721206	74767147	-1	GFM2	10	2993	374.125
TMEM268	12	ENSG00000157693	ENSG00000157693.15	9	114611206	114646422	1	TMEM268	4	4490	374.1666666666667
AMOTL1	24	ENSG00000166025	ENSG00000166025.18	11	94706431	94876748	1	AMOTL1	5	8980	374.1666666666667
DCTN4	11	ENSG00000132912	ENSG00000132912.14	5	150706840	150759095	-1	DCTN4	15	4116	374.1818181818182
LYRM4	4	ENSG00000214113	ENSG00000214113.11	6	5103629	5260950	-1	LYRM4	9	1497	374.25
MAPKAP1	9	ENSG00000119487	ENSG00000119487.17	9	125437393	125707234	-1	MAPKAP1	20	3369	374.3333333333333
VWA1	12	ENSG00000179403	ENSG00000179403.12	1	1434861	1442882	1	VWA1	4	4492	374.3333333333333
PRR5	5	ENSG00000186654	ENSG00000186654.22	22	44668547	44737681	1	PRR5	16	1872	374.4
GAL	2	ENSG00000069482	ENSG00000069482.7	11	68683779	68691175	1	GAL	2	749	374.5
HSPH1	14	ENSG00000120694	ENSG00000120694.20	13	31134973	31162388	-1	HSPH1	9	5244	374.57142857142856
RFC1	13	ENSG00000035928	ENSG00000035928.17	4	39287456	39366375	-1	RFC1	16	4870	374.61538461538464
TCF25	6	ENSG00000141002	ENSG00000141002.20	16	89873570	89913627	1	TCF25	26	2248	374.6666666666667
MAP7D1	9	ENSG00000116871	ENSG00000116871.16	1	36155579	36180849	1	MAP7D1	13	3372	374.6666666666667
NUP54	6	ENSG00000138750	ENSG00000138750.16	4	76107562	76148485	-1	NUP54	29	2249	374.8333333333333
RABAC1	2	ENSG00000105404	ENSG00000105404.11	19	41956681	41959321	-1	RABAC1	10	750	375.0
SMAGP	5	ENSG00000170545	ENSG00000170545.17	12	51244558	51270415	-1	SMAGP	8	1875	375.0
PROSER2	9	ENSG00000148426	ENSG00000148426.14	10	11823339	11872277	1	PROSER2	4	3375	375.0
UBE2N	13	ENSG00000177889	ENSG00000177889.10	12	93405673	93441947	-1	UBE2N	6	4877	375.15384615384613
CBX8	10	ENSG00000141570	ENSG00000141570.11	17	79792132	79801683	-1	CBX8	4	3752	375.2
FAM222B	11	ENSG00000173065	ENSG00000173065.14	17	28755980	28855232	-1	FAM222B	14	4128	375.27272727272725
SPIRE1	15	ENSG00000134278	ENSG00000134278.16	18	12446512	12658107	-1	SPIRE1	13	5638	375.8666666666667
ZNF200	8	ENSG00000010539	ENSG00000010539.12	16	3222325	3236221	-1	ZNF200	10	3008	376.0
FAN1	13	ENSG00000276787	ENSG00000276787.1	HSCHR15_4_CTG8	3189605	3228834	1	FAN1	1	4888	376.0
ZNF142	30	ENSG00000115568	ENSG00000115568.16	2	218633329	218659655	-1	ZNF142	6	11290	376.3333333333333
TEAD1	25	ENSG00000187079	ENSG00000187079.20	11	12674421	12944737	1	TEAD1	6	9417	376.68
COG1	8	ENSG00000166685	ENSG00000166685.13	17	73193055	73208507	1	COG1	9	3014	376.75
GNAI3	24	ENSG00000065135	ENSG00000065135.12	1	109548615	109600195	1	GNAI3	1	9044	376.8333333333333
ZNF775	6	ENSG00000196456	ENSG00000196456.13	7	150368790	150398630	1	ZNF775	3	2261	376.8333333333333
RPL31P2	1	ENSG00000230837	ENSG00000230837.1	20	33752167	33752543	-1	RPL31P2	1	377	377.0
RAB39A	5	ENSG00000179331	ENSG00000179331.3	11	107928448	107963482	1	RAB39A	1	1885	377.0
MORC2	15	ENSG00000133422	ENSG00000133422.14	22	30925130	30968774	-1	MORC2	17	5657	377.1333333333333
ARHGAP1	9	ENSG00000175220	ENSG00000175220.12	11	46677080	46700619	-1	ARHGAP1	7	3395	377.22222222222223
CCDC32	4	ENSG00000128891	ENSG00000128891.17	15	40528683	40565054	-1	CCDC32	15	1509	377.25
ZFAS1	12	ENSG00000177410	ENSG00000177410.14	20	49277054	49299600	1	ZFAS1	47	4527	377.25
GTPBP1	13	ENSG00000100226	ENSG00000100226.16	22	38705742	38738299	1	GTPBP1	13	4905	377.3076923076923
IBTK	16	ENSG00000283068	ENSG00000283068.2	HG2072_PATCH	29598	107366	-1	IBTK	10	6040	377.5
ACVR1B	12	ENSG00000135503	ENSG00000135503.13	12	51951699	51997078	1	ACVR1B	7	4531	377.5833333333333
SLX1B	3	ENSG00000181625	ENSG00000181625.18	16	29454533	29458219	1	SLX1B	5	1133	377.6666666666667
MARCHF7	16	ENSG00000136536	ENSG00000136536.15	2	159712457	159771027	1	MARCHF7	9	6043	377.6875
BARX1	4	ENSG00000131668	ENSG00000131668.14	9	93951627	93955355	-1	BARX1	2	1511	377.75
PPP2R3C	4	ENSG00000092020	ENSG00000092020.11	14	35085467	35122517	-1	PPP2R3C	20	1511	377.75
GPC3	6	ENSG00000147257	ENSG00000147257.16	X	133535745	133987100	-1	GPC3	13	2267	377.8333333333333
SEC23B	8	ENSG00000101310	ENSG00000101310.17	20	18507520	18561415	1	SEC23B	11	3026	378.25
ASRGL1	6	ENSG00000162174	ENSG00000162174.12	11	62337448	62393412	1	ASRGL1	11	2270	378.3333333333333
PYCARD	2	ENSG00000103490	ENSG00000103490.14	16	31201486	31203450	-1	PYCARD	4	757	378.5
STAT3	13	ENSG00000168610	ENSG00000168610.17	17	42313324	42388568	-1	STAT3	51	4921	378.53846153846155
MNT	13	ENSG00000070444	ENSG00000070444.15	17	2384073	2401104	-1	MNT	9	4925	378.84615384615387
SELENOW	2	ENSG00000178980	ENSG00000178980.16	19	47778677	47784686	1	SELENOW	14	758	379.0
ADGRG6	18	ENSG00000112414	ENSG00000112414.15	6	142301854	142446266	1	ADGRG6	14	6822	379.0
SS18L1	12	ENSG00000184402	ENSG00000184402.15	20	62143769	62182514	1	SS18L1	5	4549	379.0833333333333
PKN2	16	ENSG00000065243	ENSG00000065243.20	1	88684222	88836255	1	PKN2	6	6070	379.375
PCID2	5	ENSG00000126226	ENSG00000126226.22	13	113177536	113208715	-1	PCID2	16	1897	379.4
RETREG2	12	ENSG00000144567	ENSG00000144567.11	2	219176225	219185475	1	RETREG2	10	4556	379.6666666666667
DCAF15	6	ENSG00000288453	ENSG00000288453.1	HG109_PATCH	164333	173290	1	DCAF15	6	2278	379.6666666666667
HOTAIR	4	ENSG00000228630	ENSG00000228630.8	12	53962308	53975055	-1	HOTAIR	14	1519	379.75
STX16	13	ENSG00000124222	ENSG00000124222.23	20	58651272	58679526	1	STX16	19	4937	379.7692307692308
TMEM41B	10	ENSG00000166471	ENSG00000166471.11	11	9280654	9314636	-1	TMEM41B	7	3798	379.8
CELSR2	29	ENSG00000143126	ENSG00000143126.8	1	109249539	109275751	1	CELSR2	4	11015	379.82758620689657
GRAMD1A	7	ENSG00000089351	ENSG00000089351.15	19	34994784	35026471	1	GRAMD1A	15	2659	379.85714285714283
WNT11	5	ENSG00000085741	ENSG00000085741.14	11	76186325	76210736	-1	WNT11	3	1900	380.0
ADCY9	21	ENSG00000162104	ENSG00000162104.10	16	3953387	4116442	-1	ADCY9	7	7980	380.0
FLII	11	ENSG00000284571	ENSG00000284571.3	HSCHR17_3_CTG1	5189	19112	-1	FLII	29	4181	380.09090909090907
CHMP5	5	ENSG00000086065	ENSG00000086065.14	9	33264879	33282070	1	CHMP5	3	1901	380.2
CIB1	3	ENSG00000185043	ENSG00000185043.13	15	90229975	90234047	-1	CIB1	11	1141	380.3333333333333
RPL36A	2	ENSG00000241343	ENSG00000241343.10	X	101390824	101396155	1	RPL36A	10	761	380.5
C19orf81	2	ENSG00000235034	ENSG00000235034.7	19	50649445	50659310	1	C19orf81	3	761	380.5
CABIN1	19	ENSG00000099991	ENSG00000099991.18	22	24011192	24178628	1	CABIN1	14	7233	380.6842105263158
GORASP1	8	ENSG00000114745	ENSG00000114745.15	3	39095222	39108369	-1	GORASP1	58	3046	380.75
APBB1	7	ENSG00000166313	ENSG00000166313.20	11	6395125	6419414	-1	APBB1	20	2666	380.85714285714283
YME1L1	11	ENSG00000136758	ENSG00000136758.21	10	27110088	27155266	-1	YME1L1	7	4191	381.0
ZNF316	19	ENSG00000205903	ENSG00000205903.7	7	6637318	6658279	1	ZNF316	3	7243	381.2105263157895
TSEN15	5	ENSG00000198860	ENSG00000198860.14	1	184051651	184123978	1	TSEN15	20	1907	381.4
PCDH7	23	ENSG00000169851	ENSG00000169851.16	4	30720369	31146805	1	PCDH7	13	8773	381.4347826086956
MANEA	12	ENSG00000172469	ENSG00000172469.17	6	95577485	95609470	1	MANEA	11	4578	381.5
C4orf3	7	ENSG00000164096	ENSG00000164096.13	4	119296419	119304445	-1	C4orf3	2	2671	381.57142857142856
WDR91	12	ENSG00000105875	ENSG00000105875.15	7	135183839	135211555	-1	WDR91	21	4580	381.6666666666667
PRPSAP1	9	ENSG00000161542	ENSG00000161542.17	17	76309478	76384521	-1	PRPSAP1	12	3435	381.6666666666667
HEATR6	16	ENSG00000068097	ENSG00000068097.16	17	60041008	60078922	-1	HEATR6	11	6108	381.75
BPHL	5	ENSG00000137274	ENSG00000137274.14	6	3118374	3153599	1	BPHL	12	1909	381.8
VPS37C	7	ENSG00000167987	ENSG00000167987.11	11	61130257	61161615	-1	VPS37C	4	2673	381.85714285714283
LYRM2	14	ENSG00000083099	ENSG00000083099.11	6	89568144	89638749	-1	LYRM2	11	5347	381.92857142857144
FOXN3	21	ENSG00000053254	ENSG00000053254.16	14	89124871	89619149	-1	FOXN3	19	8021	381.95238095238096
PRAC1	1	ENSG00000159182	ENSG00000159182.5	17	48721719	48722518	-1	PRAC1	1	382	382.0
IL7R	12	ENSG00000168685	ENSG00000168685.15	5	35852695	35879603	1	IL7R	10	4584	382.0
POMT1	8	ENSG00000130714	ENSG00000130714.19	9	131502789	131523806	1	POMT1	77	3057	382.125
HMGCS1	14	ENSG00000112972	ENSG00000112972.16	5	43287470	43313512	-1	HMGCS1	8	5350	382.14285714285717
PKD1	37	ENSG00000008710	ENSG00000008710.20	16	2088708	2135898	-1	PKD1	40	14140	382.1621621621622
ZDHHC20	14	ENSG00000180776	ENSG00000180776.17	13	21348784	21459370	-1	ZDHHC20	11	5355	382.5
DPAGT1	5	ENSG00000172269	ENSG00000172269.20	11	119096025	119108331	-1	DPAGT1	44	1913	382.6
SLC2A3	10	ENSG00000059804	ENSG00000059804.18	12	7919230	8019007	-1	SLC2A3	15	3827	382.7
NADSYN1	7	ENSG00000172890	ENSG00000172890.13	11	71453109	71524107	1	NADSYN1	23	2679	382.7142857142857
KIF26A	18	ENSG00000066735	ENSG00000066735.16	14	104136454	104180894	1	KIF26A	3	6889	382.72222222222223
VPS29	4	ENSG00000111237	ENSG00000111237.19	12	110491083	110502111	-1	VPS29	12	1531	382.75
NCAM2	21	ENSG00000154654	ENSG00000154654.15	21	20998409	21543329	1	NCAM2	5	8041	382.9047619047619
MPZL1	13	ENSG00000197965	ENSG00000197965.12	1	167721192	167791919	1	MPZL1	11	4978	382.9230769230769
